Company,Business Address Street,Business Address City,Business Address State,Business Address Postal Code,Phone Business,Categories
Stuart Weitzman,10 Columbus Circle,New York,NY,10019-,(212) 823-9560,Business Retail TW
Swarovski,"10 Columbus Circle, Ground Floor",New York,NY,10019,(212) 823-9890,Business Retail TW
The Art of Shaving,10 Columbus Circle,New York,NY,10019-,(212) 823-9410,Business Retail TW
Thomas Pink,10 Columbus Circle,New York,NY,10019-,(212) 823-9650,Business Retail TW
Tourneau,10 Columbus Circle,New York,NY,10019-,(212) 823-9425,Business Retail TW
True Religion,"10 Columbus Circle, 2nd Floor",New York,NY,10019,(212) 209-5970,Business Retail TW
Tumi,10 Columbus Circle,New York,NY,10019-,(877) 823-9390,Business Retail TW
United Colors of Benetton,10 Columbus Circle,New York,NY,10019,(212) 245-5117,Business Retail TW
United Colors of Benetton Kids,10 Columbus Circle,New York,NY,10019-,(212) 823-9569,Business Retail TW
Williams-Sonoma,10 Columbus Circle,New York,NY,10019-,(212) 823-9750,Business Retail TW
Williams-Sonoma Home,10 Columbus Circle,New York,NY,10019-,(212) 823-9750,Business Retail TW
67  French Cleaners,148 West 67th Street,New York,NY,10023-,(212) 769-2779,Business Service
AAA,1881 Broadway,New York,NY,10023-,(212) 586-1723,Business Service
AMC Loews Lincoln Square Theater,1998 Broadway,New York,NY,10023-,(212) 336-5000,Business Service
Amsterdam Hardware Corp.,147 Amsterdam Avenue,New York,NY,10023-,(212) 721-7804,Business Service
Bank of America,1886 Broadway,New York,NY,10023-,(800) 432-1000,Business Service
Bed Bath & Beyond,1932 Broadway,New York,NY,10023-,(917) 441-9391,Business Service
Best Buy,1880 Broadway,New York,NY,10023-,(646) 246-9734,Business Service
Brown Harris Stevens,1926 Broadway,New York,NY,10023-,(212) 906-9200,Business Service
Capital One Bank,2025 Broadway,New York,NY,10023-,(212) 799-9200,Business Service
Chase Bank,1860 Broadway,New York,NY,10023,(212) 877-5667,Business Service
Chase Bank,2030 Broadway,New York,NY,10023-,(212) 580-6493,Business Service
Chateau Drug & Homecare,181 Amsterdam Avenue,New York,NY,10023-,(212) 877-6390,Business Service
Dorchester Cleaners,155 West 68th Street,New York,NY,10023-,(212) 787-0031,Business Service
Duane Reade,2025 Broadway,New York,NY,10023-,(212) 579-9955,Business Service
Duane Reade,1889 Broadway,New York,NY,10023-,(212) 586-6779,Business Service
Equinox Fitness Club,10 Columbus Circle,New York,NY,10019,(212) 823-9530,Business Service
Excellent Cleaners,137 West 67th Street,New York,NY,10023,(212) 580-2781,Business Service
First Republic Bank,10 Columbus Circle,New York,NY,10019-,(212) 336-8200,Business Service
Flute Center of New York,1841 Broadway,New York,NY,10023-,(212) 307-9737,Business Service
Fontainebleau Nail & Spa,155 West 66th St.,New York,NY,10023,(212) 501-7011,Business Service
Food Emporium,2008 Broadway,New York,NY,10023-,(212) 787-0012,Business Service
Foot Lights Shoe Repair,144 West 67th Street,New York,NY,10023-,(212) 496-7141,Business Service
Furry Paws,141 Amsterdam Avenue,New York,NY,10023-,(212) 724-9321,Business Service
Hands On,189 Amsterdam Avenue,New York,NY,10023,(212) 724-3124,Business Service
Harmony Cleaners ,61 West 62nd Street,New York,NY,10023-,(212) 586-1854,Business Service
HSBC Bank,2025 Broadway,New York,NY,10023,(212) 362-0635,Business Service
Innovation Luggage,2001 Broadway,New York,NY,10023-,(212) 721-3164,Business Service
International Hair Cutters,145 Amsterdam Avenue,New York,NY,10023,(212) 877-0075,Business Service
Jeunesse Spa,1889 Broadway,New York,NY,10023-,(212) 245-4606,Business Service
Kay Cleaners II,20 West 64th Street,New York,NY,10023-,(212) 362-0118,Business Service
Kim's Classic Nail & Spa,20 West 64th Street,New York,NY,10023-,(212) 769-0300,Business Service
Lincoln Plaza Cinemas,"1886 Broadway, 30 Lincoln Plaza",New York,NY,10023-,(212) 757-2280,Business Service
Lincoln Plaza News,1886 Broadway,New York,NY,10023-,(212) 397-2205,Business Service
Lincoln Square Veterinary Hospital,140 West 67th Street,New York,NY,10023-,(212) 712-9600,Business Service
Lincoln Terrace Cleaners,149 Amsterdam Avenue,New York,NY,10023-,(212) 874-3066,Business Service
Manhattan Mailroom,163 Amsterdam Avenue,New York,NY,10023-,(212) 595-5353,Business Service
Mayson 2 Cleaners,215 Amsterdam Avenue,New York,NY,10023-,(212) 595-2686,Business Service
Millennium Salon,189 Amsterdam Avenue,New York,NY,10023-,(212) 874-7012,Business Service
New York Kids Club,169 Amsterdam Avenue,New York,NY,10023-,(212) 721-4400,Business Service
New York Sports Club,61 West 62nd Street,New York,NY,10023-,(212) 265-0995,Business Service
OPTYX by gruen,2009 Broadway,New York,NY,10023-,(212) 874-8749,Business Service
Oreck Floor Care,2003 Broadway,New York,NY,10023-,(212) 875-0002,Business Service
Plaza Cleaners,30 Lincoln Plaza,New York,NY,10023-,(212) 307-6074,Business Service
"Rayburn Musical Instrument Co., Inc.",44 West 62nd Street,New York,NY,10023-,(212) 541-6236,Business Service
Reebok Sports Club/NY,160 Columbus Avenue,New York,NY,10023-,(212) 362-6800,Business Service
Salon 66,60 West 66th Street,New York,NY,10023,(212) 873-0443,Business Service
Samsung Experience,10 Columbus Circle,New York,NY,10019,(212) 823-9520,Business Service
Simply Nails,167 Amsterdam Avenue,New York,NY  -,10023,(212) 787-7574,Business Service
TD Bank,1995 Broadway,New York,NY,10023-,(212) 579-9418,Business Service
Tower West Dry Cleaners,161 Amsterdam Avenue,New York,NY,10023-,(212) 724-5370,Business Service
Trevi Nail,2016 Broadway,New York,NY,10023-,(212) 875-9300,Business Service
Urgent Care Manhattan,197 Amsterdam ,New York,NY,10023,n/a,Business Service
Vaillancourt Pilates,"1841 Broadway, Suite 1104",New York,NY,10023,(212) 977-8894,Business Service
Wirelessone Comm.,1845 Broadway,New York,NY,10023-,(212) 258-2220,Business Service
Yogaworks,37 West 65th Street,New York,NY,10023,(212) 769-9642,Business Service
